azimuto,distancia,alturatotal,longinflo,estado
0,12.01,20,5,S
0,11.59,47,10,S
0,17.79,27,16,X
2,2.75,48,29,S
3,2.71,23,0,S
3,2.71,16,0,S
4,12.53,49,23,S
8,18.5,27,5,S
9,18.48,10,0,S
10,20.32,17,0,S
10,13.54,42,16,S
14,15.72,15,0,X
14,4.62,48,20,S
14,4.62,18,0,S
14,4.62,18,0,S
14,4.62,13,0,S
15,12.98,37,8,S
15,12.98,20,8,X
15,12.98,47,24,X
15,12.98,57,21,E
15,12.98,31,7,E
15,12.98,40,13,E
16,12.24,9,0,X
16,6.56,10,0,X
17,20.24,5,0,X
18,6.78,8,0,X
19,6.28,20,0,S
20,20.88,8,0,E
28,12.26,52,24,S
28,11.84,36,8,S
31,19.23,8,0,X
31,11.4,19,7,S
37,6.09,7,0,X
38,5,16,0,S
40,1.88,6,0,S
41,16.16,13,0,E
41,11.69,32,8,S
42,13.44,39,5,S
43,19.16,3,0,E
44,4.24,12,0,S
48,11.16,26,8,X
48,11.19,45,13,S
48,7.07,38,13,S
49,11.19,19,0,S
49,16.94,15,0,S
50,10.92,69,35,S
56,10.58,26,13,X
60,5.37,39,8,S
86,24.64,10,0,S
86,16.56,24,8,S
91,13.72,12,0,S
91,14.58,22,16,X
106,24.58,11,0,S
109,24.84,26,21,X
116,22.38,5,0,E
119,14.39,11,0,S
120,16.06,11,0,S
123,6.78,14,0,S
145,12.95,13,0,E
147,1.08,20,0,S
148,2.84,13,0,S
148,15.57,8,0,S
156,0.99,15,0,X
156,0.99,7,0,E
156,0.99,7,0,E
180,23,19,0,S
180,23,16,0,S
180,23,10,0,S
203,15,28,9,S
218,2,8,0,S
220,2,22,12,X
223,8,11,0,X
223,6,8,0,X
225,3.5,10,0,X
225,4,49,19,S
225,3,8,0,X
238,12,9,0,E
240,20,30,20,X
242,16,6,0,S
245,20,4,0,S
245,17,15,0,S
246,13.5,23,4,S
246,13.5,17,0,S
249,13,15,0,X
249,11,14,7,X
250,7,33,7,S
255,23,44,19,S
255,22,17,0,E
255,12,17,15,X
258,22.5,10,0,S
260,7,51,19,S
263,15.5,16,3,X
263,14.5,5,0,S
264,15.5,9,13,X
265,20,10,0,S
265,19.5,12,6,X
270,7,30,0,S
270,5,7,0,S
290,13,61,26,S
295,12.5,43,20,X
295,13,45,20,X
295,13.5,17,3,X
295,12,18,12,X
298,9,30,28,X
298,13.5,35,12,X
300,10,20,5,X
300,10,16,19,X
300,12,14,10,X
300,15,6,0,S
300,16,8,0,S
300,16.5,15,0,S
302,10,30,11,X
302,15,24,9,X
303,11,26,2,E
303,17,18,0,E
305,15,30,1,E
305,15,17,0,E
305,15,24,0,E
305,15,17,0,E
305,17,12,0,S
307,21,8,0,E
307,22,4,0,E
310,16,26,6,S
310,10,45,14,X
310,10.5,40,8,S
310,9,28,0,E
312,22,14,10,X
312,22.5,34,10,E
315,23,25,12,X
318,18,24,5,S
318,13,26,14,X
318,13.5,18,0,S
320,20,7,1,S
320,19,11,0,S
320,18,8,0,S
322,20,8,0,S
322,18,19,0,E
340,5,15,0,X
355,5,26,3,S
355,6,43,11,S
355,4,44,15,E
355,4.5,46,22,E
355,2.5,21,0,E
355,2.5,46,11,E
358,5,6,0,S